order_id,amount,capture_date,status
RFND-5003,-691.00,2025-12-26,refund
ORD-1000,2449.00,2026-01-05,captured
ORD-1062,4460.00,2026-01-05,captured
ORD-1124,3388.00,2026-01-05,captured
ORD-1186,3938.00,2026-01-05,captured
ORD-1248,2533.00,2026-01-05,captured
ORD-1310,3988.00,2026-01-05,captured
ORD-1372,4736.00,2026-01-05,captured
ORD-1434,3967.00,2026-01-05,captured
ORD-1496,4249.00,2026-01-05,captured
ORD-1001,4958.00,2026-01-06,captured
ORD-1063,1225.00,2026-01-06,captured
ORD-1125,2784.00,2026-01-06,captured
ORD-1187,3854.00,2026-01-06,captured
ORD-1249,2700.00,2026-01-06,captured
ORD-1311,1567.00,2026-01-06,captured
ORD-1373,4462.00,2026-01-06,captured
ORD-1435,1245.00,2026-01-06,captured
ORD-1497,4451.00,2026-01-06,captured
ORD-1002,1568.00,2026-01-07,captured
ORD-1064,3318.00,2026-01-07,captured
ORD-1126,4510.00,2026-01-07,captured
ORD-1188,791.00,2026-01-07,captured
ORD-1250,4819.00,2026-01-07,captured
ORD-1312,730.00,2026-01-07,captured
ORD-1374,1779.00,2026-01-07,captured
ORD-1436,1203.00,2026-01-07,captured
ORD-1498,3059.00,2026-01-07,captured
ORD-1003,3530.00,2026-01-08,captured
ORD-1065,1045.00,2026-01-08,captured
ORD-1127,681.00,2026-01-08,captured
ORD-1189,3885.00,2026-01-08,captured
ORD-1251,4757.00,2026-01-08,captured
ORD-1313,3167.00,2026-01-08,captured
ORD-1375,3785.00,2026-01-08,captured
ORD-1437,1466.00,2026-01-08,captured
ORD-1499,1944.00,2026-01-08,captured
ORD-1004,4383.00,2026-01-09,captured
ORD-1066,3862.00,2026-01-09,captured
ORD-1128,996.00,2026-01-09,captured
ORD-1190,1777.00,2026-01-09,captured
ORD-1252,3965.00,2026-01-09,captured
ORD-1314,3565.00,2026-01-09,captured
ORD-1376,1723.00,2026-01-09,captured
ORD-1438,1258.00,2026-01-09,captured
ORD-1005,1036.00,2026-01-12,captured
ORD-1067,1735.00,2026-01-12,captured
ORD-1129,674.00,2026-01-12,captured
ORD-1191,2134.00,2026-01-12,captured
ORD-1253,917.00,2026-01-12,captured
ORD-1315,2647.00,2026-01-12,captured
ORD-1377,1831.00,2026-01-12,captured
ORD-1439,2664.00,2026-01-12,captured
ORD-1006,607.00,2026-01-13,captured
ORD-1068,664.00,2026-01-13,captured
ORD-1130,3524.00,2026-01-13,captured
ORD-1192,538.00,2026-01-13,captured
ORD-1254,4373.00,2026-01-13,captured
ORD-1316,1494.00,2026-01-13,captured
ORD-1378,1285.00,2026-01-13,captured
ORD-1440,2890.00,2026-01-13,captured
ORD-1007,4343.00,2026-01-14,captured
ORD-1069,2907.00,2026-01-14,captured
ORD-1131,2557.00,2026-01-14,captured
ORD-1193,4410.00,2026-01-14,captured
ORD-1255,3146.00,2026-01-14,captured
ORD-1317,4302.00,2026-01-14,captured
ORD-1379,4579.00,2026-01-14,captured
ORD-1441,795.00,2026-01-14,captured
ORD-1008,2624.00,2026-01-15,captured
ORD-1070,3999.00,2026-01-15,captured
ORD-1132,4238.00,2026-01-15,captured
ORD-1194,4679.00,2026-01-15,captured
ORD-1256,514.00,2026-01-15,failed
ORD-1318,1508.00,2026-01-15,captured
ORD-1380,4460.00,2026-01-15,captured
ORD-1442,3421.00,2026-01-15,captured
ORD-1009,2419.00,2026-01-16,captured
ORD-1071,3901.00,2026-01-16,captured
ORD-1133,2946.00,2026-01-16,captured
ORD-1195,4058.00,2026-01-16,captured
ORD-1257,949.00,2026-01-16,captured
ORD-1319,4843.00,2026-01-16,captured
ORD-1381,4737.00,2026-01-16,captured
ORD-1443,4205.00,2026-01-16,captured
ORD-1010,2070.00,2026-01-17,captured
ORD-1072,1474.00,2026-01-17,captured
ORD-1134,3121.00,2026-01-17,captured
ORD-1196,2319.00,2026-01-17,captured
ORD-1258,1539.00,2026-01-17,captured
ORD-1320,3583.00,2026-01-17,captured
ORD-1382,4129.00,2026-01-17,captured
ORD-1444,3257.00,2026-01-17,captured
