value_date,amount,type,narration,utr
2026-01-07,22155.04,CR,NEFT-RAZORPAY-SETL101-CR,UTR-35716374
2026-01-08,23864.31,CR,IMPS/RAZORPAY/SETL102,UTR-30759893
2026-01-09,28726.01,CR,RTGS RAZORPAY SETTLEMENT 103,UTR-97692730
2026-01-09,28726.01,CR,RTGS RAZORPAY SETTLEMENT 103,UTR-97692730
2026-01-12,17113.95,CR,NEFT RZPSETL104 COLLECTIONS CR,UTR-31346125
2026-01-13,19016.31,CR,NEFT RAZORPAYSETL105 CR,UTR-19555021
2026-01-14,20226.60,CR,NEFT-RAZORPAY-SETL106-CR,UTR-60282536
2026-01-15,19297.13,CR,IMPS/RAZORPAY/SETL107,UTR-61762070
2026-01-16,21330.24,CR,RTGS RAZORPAY SETTLEMENT 108,UTR-73036708
2026-01-16,21330.24,CR,RTGS RAZORPAY SETTLEMENT 108,UTR-73036708
2026-01-17,21001.50,CR,NEFT RZPSETL109 COLLECTIONS CR,UTR-30416384
2026-01-19,27277.97,CR,NEFT RAZORPAYSETL110 CR,UTR-84096651
2026-01-20,31996.82,CR,NEFT-RAZORPAY-SETL111-CR,UTR-44100309
2026-01-21,20990.74,CR,IMPS/RAZORPAY/SETL112,UTR-24795736
2026-01-22,23702.88,CR,RTGS RAZORPAY SETTLEMENT 113,UTR-47236246
2026-01-23,24490.18,CR,NEFT RZPSETL114 COLLECTIONS CR,UTR-31681192
2026-01-26,12945.30,CR,NEFT RAZORPAYSETL115 CR,UTR-48527596
2026-01-27,18803.02,CR,NEFT-RAZORPAY-SETL116-CR,UTR-41563687
2026-01-28,19840.13,CR,IMPS/RAZORPAY/SETL117,UTR-14449728
2026-01-29,23000.38,CR,RTGS RAZORPAY SETTLEMENT 118,UTR-74697766
2026-01-30,26434.59,CR,NEFT RZPSETL119 COLLECTIONS CR,UTR-14307786
2026-01-31,18095.63,CR,NEFT RAZORPAYSETL120 CR,UTR-56210957
2026-02-02,17246.37,CR,NEFT-RAZORPAY-SETL121-CR,UTR-59522050
2026-02-03,29812.04,CR,IMPS/RAZORPAY/SETL122,UTR-52421511
2026-02-04,20571.98,CR,RTGS RAZORPAY SETTLEMENT 123,UTR-17904572
2026-02-05,18108.35,CR,NEFT RZPSETL124 COLLECTIONS CR,UTR-12918227
2026-02-06,16414.73,CR,NEFT RAZORPAYSETL125 CR,UTR-71291636
2026-02-07,26327.94,CR,NEFT-RAZORPAY-SETL126-CR,UTR-73314762
2026-02-09,18024.20,CR,IMPS/RAZORPAY/SETL127,UTR-30933860
2026-02-10,10344.70,CR,RTGS RAZORPAY SETTLEMENT 128,UTR-25826053
2026-02-11,19417.45,CR,NEFT RZPSETL129 COLLECTIONS CR,UTR-99733338
2026-02-12,17168.10,CR,NEFT RAZORPAYSETL130 CR,UTR-53525493
2026-02-13,26295.65,CR,NEFT-RAZORPAY-SETL131-CR,UTR-49070870
2026-02-16,16358.96,CR,IMPS/RAZORPAY/SETL132,UTR-70918518
2026-02-17,21054.33,CR,RTGS RAZORPAY SETTLEMENT 133,UTR-42205409
2026-02-18,25944.40,CR,NEFT RZPSETL134 COLLECTIONS CR,UTR-31908173
2026-02-19,20218.32,CR,NEFT RAZORPAYSETL135 CR,UTR-14500606
2026-02-20,21770.52,CR,NEFT-RAZORPAY-SETL136-CR,UTR-36980774
2026-02-21,22094.37,CR,IMPS/RAZORPAY/SETL137,UTR-13346091
2026-02-23,23530.68,CR,RTGS RAZORPAY SETTLEMENT 138,UTR-87137623
2026-02-24,22034.69,CR,NEFT RZPSETL139 COLLECTIONS CR,UTR-40933491
2026-02-25,29964.67,CR,NEFT RAZORPAYSETL140 CR,UTR-98109811
2026-02-26,24091.41,CR,NEFT-RAZORPAY-SETL141-CR,UTR-20496272
2026-02-27,28783.07,CR,IMPS/RAZORPAY/SETL142,UTR-92890385
2026-03-02,18577.98,CR,RTGS RAZORPAY SETTLEMENT 143,UTR-63830806
2026-03-03,23008.20,CR,NEFT RZPSETL144 COLLECTIONS CR,UTR-58889224
2026-03-04,12030.49,CR,NEFT RAZORPAYSETL145 CR,UTR-51854364
2026-03-05,24166.63,CR,NEFT-RAZORPAY-SETL146-CR,UTR-34759978
2026-03-06,17283.56,CR,IMPS/RAZORPAY/SETL147,UTR-72818856
2026-03-07,24863.27,CR,RTGS RAZORPAY SETTLEMENT 148,UTR-58514345
2026-03-09,24057.05,CR,NEFT RZPSETL149 COLLECTIONS CR,UTR-48002838
2026-03-10,15395.22,CR,NEFT RAZORPAYSETL150 CR,UTR-18976302
2026-03-11,20871.37,CR,NEFT-RAZORPAY-SETL151-CR,UTR-72818996
2026-03-12,15068.45,CR,IMPS/RAZORPAY/SETL152,UTR-31924896
2026-03-13,18401.87,CR,RTGS RAZORPAY SETTLEMENT 153,UTR-42283814
2026-03-16,19712.94,CR,NEFT RZPSETL154 COLLECTIONS CR,UTR-33574737
2026-03-17,22891.17,CR,NEFT RAZORPAYSETL155 CR,UTR-38020489
2026-03-18,30267.98,CR,NEFT-RAZORPAY-SETL156-CR,UTR-15894988
2026-03-19,20591.96,CR,IMPS/RAZORPAY/SETL157,UTR-96687690
2026-03-20,21554.30,CR,RTGS RAZORPAY SETTLEMENT 158,UTR-91695754
2026-03-21,25303.55,CR,NEFT RZPSETL159 COLLECTIONS CR,UTR-67800590
2026-03-23,28837.55,CR,NEFT RAZORPAYSETL160 CR,UTR-46334250
2026-03-24,25584.35,CR,NEFT-RAZORPAY-SETL161-CR,UTR-10841905
2026-03-25,22042.51,CR,IMPS/RAZORPAY/SETL162,UTR-71997089
