settlement_id,utr,settle_date,gross,fee,gst,net,order_id
SETL-110,UTR-84096651,2026-01-19,27880.00,510.20,91.83,27277.97,ORD-1009
SETL-110,UTR-84096651,2026-01-19,27880.00,510.20,91.83,27277.97,ORD-1071
SETL-110,UTR-84096651,2026-01-19,27880.00,510.20,91.83,27277.97,ORD-1133
SETL-110,UTR-84096651,2026-01-19,27880.00,510.20,91.83,27277.97,ORD-1195
SETL-110,UTR-84096651,2026-01-19,27880.00,510.20,91.83,27277.97,ORD-1257
SETL-110,UTR-84096651,2026-01-19,27880.00,510.20,91.83,27277.97,ORD-1319
SETL-110,UTR-84096651,2026-01-19,27880.00,510.20,91.83,27277.97,ORD-1381
SETL-110,UTR-84096651,2026-01-19,27880.00,510.20,91.83,27277.97,ORD-1443
SETL-111,UTR-44100309,2026-01-20,32703.00,598.46,107.72,31996.82,ORD-1010
SETL-111,UTR-44100309,2026-01-20,32703.00,598.46,107.72,31996.82,ORD-1072
SETL-111,UTR-44100309,2026-01-20,32703.00,598.46,107.72,31996.82,ORD-1134
SETL-111,UTR-44100309,2026-01-20,32703.00,598.46,107.72,31996.82,ORD-1196
SETL-111,UTR-44100309,2026-01-20,32703.00,598.46,107.72,31996.82,ORD-1258
SETL-111,UTR-44100309,2026-01-20,32703.00,598.46,107.72,31996.82,ORD-1320
SETL-111,UTR-44100309,2026-01-20,32703.00,598.46,107.72,31996.82,ORD-1382
SETL-111,UTR-44100309,2026-01-20,32703.00,598.46,107.72,31996.82,ORD-1444
SETL-112,UTR-24795736,2026-01-21,21454.00,392.60,70.66,20990.74,ORD-1073
SETL-112,UTR-24795736,2026-01-21,21454.00,392.60,70.66,20990.74,ORD-1135
SETL-112,UTR-24795736,2026-01-21,21454.00,392.60,70.66,20990.74,ORD-1197
SETL-112,UTR-24795736,2026-01-21,21454.00,392.60,70.66,20990.74,ORD-1259
SETL-112,UTR-24795736,2026-01-21,21454.00,392.60,70.66,20990.74,ORD-1321
SETL-112,UTR-24795736,2026-01-21,21454.00,392.60,70.66,20990.74,ORD-1383
SETL-112,UTR-24795736,2026-01-21,21454.00,392.60,70.66,20990.74,ORD-1445
SETL-113,UTR-47236246,2026-01-22,24226.00,443.33,79.79,23702.88,ORD-1012
SETL-113,UTR-47236246,2026-01-22,24226.00,443.33,79.79,23702.88,ORD-1074
SETL-113,UTR-47236246,2026-01-22,24226.00,443.33,79.79,23702.88,ORD-1136
SETL-113,UTR-47236246,2026-01-22,24226.00,443.33,79.79,23702.88,ORD-1198
SETL-113,UTR-47236246,2026-01-22,24226.00,443.33,79.79,23702.88,ORD-1260
SETL-113,UTR-47236246,2026-01-22,24226.00,443.33,79.79,23702.88,ORD-1322
SETL-113,UTR-47236246,2026-01-22,24226.00,443.33,79.79,23702.88,ORD-1384
SETL-113,UTR-47236246,2026-01-22,24226.00,443.33,79.79,23702.88,ORD-1446
SETL-114,UTR-31681192,2026-01-23,25416.00,465.11,83.71,24490.18,ORD-1013
SETL-114,UTR-31681192,2026-01-23,25416.00,465.11,83.71,24490.18,ORD-1075
SETL-114,UTR-31681192,2026-01-23,25416.00,465.11,83.71,24490.18,ORD-1137
SETL-114,UTR-31681192,2026-01-23,25416.00,465.11,83.71,24490.18,ORD-1199
SETL-114,UTR-31681192,2026-01-23,25416.00,465.11,83.71,24490.18,ORD-1261
SETL-114,UTR-31681192,2026-01-23,25416.00,465.11,83.71,24490.18,ORD-1323
SETL-114,UTR-31681192,2026-01-23,25416.00,465.11,83.71,24490.18,ORD-1385
